# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	352855
#@/user_id	5ccb50a0-6ba1-4de8-9045-d7436d20e87a
a 	啊	c=5862 d=5.05529 t=352657
bao yi 	褒義	c=2 d=1 t=146862
bao yu 	暴雨	c=4 d=1 t=289202
bao yuan 	抱怨	c=1 d=1 t=164571
bao yue 	包月	c=2 d=1 t=260181
bao zai 	煲仔	c=3 d=0.1 t=133380
bao zai fan 	寶再犯	c=1 d=1 t=162
bao zai fan 	煲仔飯	c=1 d=1 t=133381
bao zao 	暴躁	c=1 d=1 t=155885
bao zha 	爆炸	c=3 d=1 t=202835
bao zhang 	暴漲	c=1 d=1 t=35119
bao zhe 	抱着	c=2 d=1 t=221968
bao zheng 	保證	c=26 d=1.96561 t=344414
bao zheng jin du 	保證進度	c=1 d=1 t=31485
bao zhi 	保值	c=1 d=1 t=325693
bao zhi qi 	保質期	c=4 d=1 t=156318
bao zhong 	保重	c=4 d=1 t=350768
bao zhuang 	包裝	c=18 d=1 t=325506
bao zhuang a 	包裝啊	c=1 d=1 t=270013
bao zhuang he 	包裝盒	c=1 d=1 t=269867
bao zhuang shang 	包裝上	c=1 d=1 t=255807
bao zi 	包子	c=16 d=1.08564 t=208233
be 	别	c=1 d=1 t=340299
be yao shi 	别要是	c=1 d=1 t=337756
bei 	倍	c=4 d=1 t=312968
bei 	備	c=3 d=1 t=149841
bei 	北	c=23 d=1 t=331636
bei 	唄	c=363 d=1.00168 t=352216
bei 	碑	c=1 d=1 t=105120
bei 	背	c=22 d=1 t=329463
bei 	蓓	c=45 d=4.16789 t=341445
bei 	被	c=194 d=1.24783 t=351032
bei 	貝	c=1 d=1 t=121097
bei an 	備案	c=303 d=1 t=345245
bei an de 	備案的	c=1 d=1 t=21959
bei an hao 	備案號	c=10 d=1 t=211172
bei an le 	備案了	c=1 d=1 t=117951
bei ban qiu 	北半球	c=1 d=1 t=159072
bei bao 	背包	c=3 d=1 t=104462
bei bi 	被逼	c=1 d=1 t=208291
bei bian 	北邊	c=22 d=1.0053 t=194516
bei bing yang 	北冰洋	c=1 d=1 t=86533
bei bo 	卑薄	c=1 d=1 t=240037
bei bo hui le 	被駁回了	c=1 d=1 t=23918
bei cheng 	北城	c=1 d=1 t=280987
bei chu 	輩出	c=1 d=1 t=236517
bei da 	北大	c=5 d=1.96079 t=301904
bei de 	倍的	c=1 d=1 t=198664
bei dong 	被動	c=5 d=1 t=318953
bei er 	倍兒	c=1 d=1 t=319110
bei fang 	北方	c=3 d=1 t=304904
bei fen 	備份	c=21 d=1.84366 t=349248
bei feng 	被封	c=0 d=0.1 t=15289
bei guan 	悲觀	c=1 d=1 t=308678
bei guang 	背光	c=1 d=1 t=37821
bei guo 	北國	c=1 d=1 t=59590
bei guo 	背鍋	c=1 d=1 t=338850
bei hou 	背後	c=5 d=1 t=269222
bei ji 	北極	c=1 d=1 t=104464
bei ji guang 	北極光	c=2 d=1 t=254958
bei ji jing 	北極鯨	c=1 d=1 t=116808
bei ji xing 	北極星	c=2 d=1 t=72465
bei jin 	被禁	c=8 d=1 t=314216
bei jing 	北京	c=640 d=1.02497 t=352088
bei jing 	背景	c=10 d=1 t=346063
bei jing ba 	北京吧	c=1 d=1 t=124812
bei jing bi jiao 	北京比較	c=1 d=1 t=116970
bei jing cang 	北京倉	c=1 d=1 t=292394
bei jing deng yun 	北京登雲	c=1 d=1 t=265743
bei jing fen 	北京分	c=1 d=1 t=48265
bei jing gei ni 	北京給你	c=2 d=1 t=289514
bei jing hui 	北京會	c=1 d=1 t=127603
bei jing lai 	北京來	c=1 d=1 t=267863
bei jing ma 	北京嗎	c=1 d=1 t=4093
bei jing na ge 	北京那個	c=4 d=1 t=220227
bei jing shan sen 	北京山森	c=5 d=1 t=272992
bei jing shen qing 	北京申請	c=1 d=1 t=280264
bei jing shi 	北京市	c=19 d=1.99005 t=232684
bei jing wang wen zheng 	北京網文證	c=1 d=1 t=85769
bei jing xia 	背景下	c=1 d=1 t=320888
bei jing you 	北京有	c=1 d=1 t=142493
bei jing zhe bian 	北京這邊	c=1 d=1 t=228410
bei jing zuo 	北京做	c=1 d=1 t=197358
bei kao 	備考	c=1 d=1 t=320424
bei kao 	背靠	c=1 d=1 t=21168
bei li 	北里	c=1 d=1 t=267994
bei lun 	悖論	c=1 d=1 t=313384
bei mei 	北美	c=1 d=1 t=113223
bei mian 	北面	c=1 d=1 t=201323
bei mian 	背面	c=8 d=1 t=348336
bei ni 	被你	c=4 d=1 t=219534
bei ou 	北歐	c=1 d=1 t=112634
bei pian 	被騙	c=1 d=1 t=204265
bei po 	被迫	c=2 d=1.94176 t=152672
bei qu 	北區	c=1 d=1 t=103294
bei ren 	被人	c=2 d=1 t=257524
bei shu 	背書	c=4 d=1 t=262677
bei si 	倍思	c=1 d=1 t=231390
bei tai 	備胎	c=1 d=1 t=328948
bei wang 	備忘	c=8 d=1 t=339347
bei wang lu 	備忘錄	c=1 d=1 t=168296
bei wo 	被我	c=5 d=1 t=230064
bei wo 	被窩	c=1 d=1 t=269130
bei wo men 	唄我們	c=1 d=1 t=26400
bei xian 	北縣	c=1 d=1 t=197820
bei xin 	背心	c=3 d=1 t=214006
bei xuan 	備選	c=9 d=1 t=194309
bei yan 	北燕	c=1 d=1 t=108711
bei yong 	備用	c=2 d=1 t=349036
bei yong jin 	備用金	c=1 d=1 t=228579
bei zhan 	備戰	c=1 d=1 t=329123
bei zhao 	被罩	c=1 d=1 t=40131
bei zhe 	背着	c=2 d=1 t=107167
bei zhu 	備註	c=13 d=1 t=314497
bei zi 	杯子	c=9 d=1 t=324668
bei zi 	被子	c=4 d=1.92774 t=162889
ben 	奔	c=9 d=1.56553 t=311117
ben 	本	c=24 d=1.00212 t=351444
ben 	笨	c=3 d=1 t=253219
ben cao 	本草	c=5 d=1.10262 t=236030
ben ci 	本次	c=14 d=1 t=289571
ben dan 	笨蛋	c=22 d=1.09442 t=213822
ben di 	本地	c=25 d=1 t=346766
ben di hua 	本地化	c=2 d=1.99501 t=101290
ben di sheng huo 	本地生活	c=1 d=1 t=155266
ben gong si 	本公司	c=1 d=1 t=4678
ben guo cheng 	本過程	c=2 d=1.00187 t=129835
ben hang 	本行	c=1 d=1 t=69358
ben ji 	本機	c=1 d=1 t=281206
ben jia 	本家	c=1 d=1 t=290337
ben jin 	本金	c=1 d=1 t=281608
ben ke 	本科	c=5 d=1 t=232347
ben kuan 	本款	c=1 d=1 t=227802
ben lai 	本來	c=65 d=1 t=348055
ben lai ji hua 	本來計劃	c=1 d=1 t=134081
ben lai shang 	本來上	c=1 d=1 t=1954
ben lai shi 	本來是	c=1 d=1 t=301257
ben ming 	本名	c=1 d=1 t=287430
ben nian 	本年	c=1 d=1 t=85767
ben qi 	本期	c=4 d=1 t=284706
ben ren 	本人	c=3 d=1 t=320522
ben ren qu 	本人去	c=1 d=1 t=133549
ben rou 	本肉	c=1 d=1 t=129555
ben she 	本社	c=1 d=1 t=138230
ben shen 	本身	c=30 d=1.96561 t=324559
ben shi 	本事	c=2 d=2.04209 t=132579
ben shu 	本書	c=1 d=1 t=111689
ben tu 	本土	c=2 d=1 t=342668
ben xiang 	本想	c=1 d=1 t=255565
ben yue 	本月	c=15 d=1 t=349805
ben yue de 	本月的	c=1 d=1 t=171864
ben yue di 	本月底	c=1 d=1 t=48997
ben zhe 	奔着	c=2 d=1 t=302841
ben zhi 	本質	c=3 d=1 t=334011
ben zhou 	本週	c=21 d=1.08536 t=285592
ben zhou mei you 	本週沒有	c=1 d=1 t=241239
ben zhou wu 	本週五	c=2 d=1 t=284693
beng 	崩	c=2 d=1 t=122210
beng 	泵	c=7 d=1 t=339127
beng 	甭	c=1 d=1 t=175110
beng 	蹦	c=1 d=1 t=45672
beng er jiao 	迸兒焦	c=1 d=1 t=324906
beng kui 	崩潰	c=1 d=1 t=269959
bi 	壁	c=1 d=1 t=347116
bi 	幣	c=72 d=3.04552 t=341127
bi 	必	c=1 d=1 t=2979
bi 	比	c=99 d=1.0014 t=349597
bi 	筆	c=16 d=1 t=333045
bi 	逼	c=6 d=1.99005 t=331205
bi 	避	c=1 d=1 t=294846
bi 	閉	c=1 d=1 t=323086
bi bei 	必備	c=2 d=1 t=341356
bi bian 	比變	c=1 d=1 t=70543
bi bu liao 	比不了	c=2 d=1 t=337830
bi ci bi ci 	彼此彼此	c=1 d=1 t=134812
bi de 	彼得	c=1 d=1 t=79394
bi di o 	比第哦	c=1 d=1 t=66346
bi dou 	鼻竇	c=2 d=1 t=195805
bi dou yan 	鼻竇炎	c=2 d=1 t=268584
bi duan 	弊端	c=1 d=1 t=96182
bi dui 	比對	c=0 d=0.1 t=250570
bi gua 	壁掛	c=1 d=1 t=347289
bi gui yuan 	碧桂園	c=1 d=1 t=124737
bi guo 	比過	c=1 d=1 t=109814
bi he 	閉合	c=1 d=1 t=231303
bi hu 	壁虎	c=1 d=1 t=330201
bi hu 	庇護	c=1 d=1 t=4514
bi huan 	閉環	c=3 d=1 t=262663
bi huan fan kui 	閉環反饋	c=1 d=1 t=56085
bi ji 	筆記	c=4 d=1 t=304967
bi ji ben 	筆記本	c=17 d=5.27019 t=231524
bi jia 	比價	c=1 d=1 t=194731
bi jia suo 	畢加索	c=1 d=1 t=251457
bi jian 	比肩	c=1 d=1 t=210913
bi jiao 	比較	c=208 d=1.00004 t=352833
bi jiao chang 	比較長	c=1 d=1 t=94116
bi jiao da 	比較大	c=4 d=1 t=254083
bi jiao dan 	比較淡	c=1 d=1 t=134467
bi jiao duo 	比較多	c=6 d=1 t=327640
bi jiao fu za 	比較複雜	c=2 d=1 t=315465
bi jiao gao 	比較高	c=2 d=1 t=167078
bi jiao gui 	比較貴	c=1 d=1 t=326802
bi jiao hao 	比較好	c=5 d=1 t=264686
bi jiao luan 	比較亂	c=1 d=1 t=275741
bi jiao ma fan 	比較麻煩	c=1 d=1 t=109559
bi jiao man 	比較慢	c=2 d=1 t=117191
bi jiao you 	比較有	c=1 d=1 t=30551
bi jiao zao 	比較早	c=1 d=1 t=78197
bi jing 	必經	c=1 d=1 t=283431
bi jing 	畢竟	c=21 d=1 t=343711
bi jing bu shi 	畢竟不是	c=1 d=1 t=133768
bi jing chan pin 	畢竟產品	c=1 d=1 t=263688
bi jing shi 	畢竟是	c=7 d=1 t=327353
bi jing wo men 	畢竟我們	c=1 d=1 t=109050
bi jing zhi lu 	必經之路	c=1 d=1 t=154950
bi kai 	避開	c=6 d=1 t=350147
bi lan 	碧藍	c=0 d=0.1 t=14260
bi lan hang xian 	碧藍航線	c=1 d=1 t=14261
bi lei 	壁壘	c=2 d=1 t=299794
bi li 	比例	c=35 d=1 t=334461
bi li shi 	比利時	c=1 d=1 t=274002
bi mian 	避免	c=8 d=1 t=281742
bi ni 	比你	c=1 d=0.1 t=333974
bi ping 	逼平	c=1 d=1 t=274962
bi ran 	必然	c=2 d=1 t=348430
bi ru 	比如	c=59 d=1.83111 t=350885
bi ru shuo 	比如說	c=10 d=1 t=348393
bi sai 	比賽	c=4 d=1 t=281964
bi shang bu zu 	比上不足	c=1 d=1 t=87845
bi shang wu 	比上午	c=1 d=1 t=321862
bi shei 	比誰	c=3 d=1.9802 t=297662
bi sheng ke 	必勝客	c=2 d=1 t=156851
bi shi 	鄙視	c=1 d=1 t=101726
bi shou ji 	比手機	c=1 d=1 t=296957
bi te 	比特	c=3 d=1 t=331231
bi te bi 	幣特比	c=1 d=1 t=270127
bi ti 	鼻涕	c=1 d=1 t=118424
bi tian 	必填	c=7 d=1 t=320633
bi tu 	碧土	c=1 d=1 t=212146
bi wang le 	比忘了	c=1 d=1 t=130877
bi wo 	比我	c=11 d=1 t=350114
bi wo men 	比我們	c=8 d=1 t=345369
bi wo men zhi qian 	比我們之前	c=1 d=1 t=252707
bi xia you yu 	比下有餘	c=1 d=1 t=87846
bi xu 	必須	c=41 d=1.00383 t=350189
bi xu de 	必須的	c=2 d=1 t=320645
bi xu dei 	必須得	c=6 d=1 t=330533
bi xu pin 	必需品	c=1 d=1 t=60099
bi xu shi 	必須是	c=3 d=1 t=119287
bi xu yao 	比需要	c=3 d=1 t=182507
bi xu yao yong 	必須要用	c=1 d=1 t=146250
bi xue 	鼻血	c=2 d=1 t=192418
bi ya 	比亞	c=0 d=0.1 t=14924
bi ya di 	比亞迪	c=2 d=1 t=189824
bi yan 	閉眼	c=4 d=1 t=238121
bi yan 	鼻炎	c=6 d=1 t=329313
bi yao 	必要	c=24 d=1 t=347924
bi yao gen 	必要跟	c=1 d=1 t=232253
bi yao shi 	必要時	c=1 d=1 t=130911
bi ye 	畢業	c=14 d=1 t=330636
bi ye de 	畢業的	c=1 d=1 t=169206
bi ye zheng 	畢業證	c=8 d=0.1 t=184615
bi yi bi 	比一比	c=1 d=1 t=167381
bi yi yang 	比一樣	c=1 d=1 t=312691
bi yu 	比喻	c=1 d=1 t=149300
bi yun tao 	避孕套	c=1 d=1 t=350979
bi zhe 	逼着	c=1 d=1 t=169165
bi zhe ge 	比這個	c=1 d=1 t=26097
bi zhi 	壁紙	c=2 d=1.99005 t=189760
bi zhong 	幣種	c=1 d=1 t=267718
bi zhong 	比重	c=1 d=1 t=216824
bi zi 	鼻子	c=18 d=1 t=348326
bi zi bu teng 	鼻子不疼	c=1 d=1 t=161832
bi zu 	鼻祖	c=1 d=1 t=165654
bi zui 	閉嘴	c=1 d=1 t=328325
bian 	卞	c=1 d=1 t=81797
bian 	編	c=18 d=1 t=350518
bian 	變	c=44 d=1 t=350546
bian 	遍	c=10 d=1 t=262554
bian 	邊	c=59 d=1.99106 t=332194
bian an 	變暗	c=0 d=0.1 t=318415
bian an ma 	變暗嗎	c=1 d=1 t=318416
bian bian 	邊邊	c=1 d=1 t=296282
bian bie 	辨別	c=1 d=1 t=138301
bian ce 	鞭策	c=1 d=1 t=104248
bian cheng 	編程	c=9 d=1 t=331311
bian cheng 	變成	c=26 d=1 t=336986
bian cheng le 	變成了	c=7 d=1 t=329462
bian cu 	邊粗	c=1 d=1 t=189438
bian de 	變得	c=4 d=1 t=319109
bian dong 	變動	c=19 d=1.9658 t=300074
bian gen 	遍跟	c=4 d=1 t=205554
bian geng 	變更	c=176 d=1.39496 t=339859
bian geng le 	變更了	c=2 d=1 t=45378
bian geng qing qiu 	變更請求	c=1 d=1 t=138912
bian geng yi ci 	變更一次	c=1 d=1 t=45464
bian hao 	編號	c=52 d=1.00361 t=331824
bian hua 	變化	c=29 d=1 t=336617
bian hua le 	變化了	c=1 d=1 t=39909
bian hua ye 	變化也	c=1 d=1 t=233494
bian ji 	編輯	c=23 d=1 t=332737
bian ji 	邊際	c=2 d=1 t=201017
bian ji de 	編輯的	c=1 d=1 t=221587
bian ji qi 	編輯器	c=4 d=1 t=170029
bian ji zhi hou 	編輯之後	c=1 d=1 t=177433
bian jie 	邊界	c=6 d=2.12082 t=339933
bian kan 	邊看	c=2 d=1 t=331308
bian lai 	變來	c=0 d=0.1 t=122529
bian le 	變了	c=12 d=1 t=328298
bian liang 	變量	c=9 d=1 t=217220
bian ma 	編碼	c=78 d=1 t=350599
bian pai 	編排	c=1 d=1 t=132646
bian ping 	扁平	c=1 d=1 t=227034
bian shang 	邊上	c=19 d=1 t=347813
bian su 	變速	c=1 d=1 t=310427
bian tai 	變態	c=2 d=1 t=254476
bian wei 	變爲	c=4 d=1 t=291257
bian xian 	變現	c=2 d=1 t=319260
bian xiang 	變相	c=3 d=1 t=330794
bian xie 	編寫	c=33 d=1 t=345764
bian xie shi 	便攜式	c=1 d=1 t=209907
bian xing 	變形	c=1 d=1 t=13503
bian xue 	邊學	c=1 d=1 t=331310
bian yang 	變樣	c=2 d=1.96561 t=351512
bian yi 	便宜	c=3 d=1 t=156046
bian yi 	編譯	c=2 d=1 t=344340
bian yi 	變異	c=1 d=1 t=351060
bian yuan 	邊緣	c=5 d=1 t=326176
bian zheng 	辯證	c=1 d=1 t=334327
bian zhi 	編制	c=1 d=1 t=268999
bian zhi 	變質	c=1 d=1 t=269000
biao 	標	c=9 d=1 t=331999
biao 	表	c=120 d=2.0261 t=347205
biao 	鏢	c=5 d=1 t=230326
biao da 	表達	c=18 d=1 t=300315
biao dai 	錶帶	c=1 d=1 t=185036
biao dan 	表單	c=2 d=1 t=157367
biao di 	標的	c=1 d=1 t=135915
biao gan 	標杆	c=5 d=1 t=313787
biao ge 	表格	c=67 d=1 t=342623
biao ge li mian 	表格裏面	c=2 d=1 t=324337
biao ge shang 	表格上	c=1 d=1 t=118480
biao geng 	表更	c=1 d=1 t=195769
biao hong zun 	表虹鱒	c=1 d=1 t=124753
biao ji 	標記	c=6 d=1 t=341748
biao jia 	標價	c=6 d=1.8311 t=312336
biao jian 	標間	c=1 d=1 t=176193
biao jie gou 	表結構	c=1 d=1 t=142468
biao li mian 	表裏面	c=2 d=1 t=181049
biao ma 	彪馬	c=2 d=1 t=325203
biao mian 	表面	c=5 d=1 t=326998
biao mian shang 	表面上	c=1 d=1 t=191210
biao pei 	標配	c=1 d=1 t=350558
biao qian 	標籤	c=12 d=1 t=342302
biao qiang 	標槍	c=2 d=1 t=209338
biao qing 	表情	c=15 d=1 t=318216
biao shi 	標識	c=9 d=2.82358 t=332153
biao shi 	表示	c=2 d=1 t=177590
biao shi biao shi 	表示表示	c=1 d=1 t=78125
biao shu 	表述	c=2 d=0.1 t=282576
biao shu bu 	表述不	c=1 d=1 t=282577
biao shuai 	表率	c=1 d=1 t=28898
biao ti 	標題	c=14 d=1.1764 t=280480
biao ti lan 	標題欄	c=1 d=1 t=119
biao tou 	表頭	c=1 d=1 t=200024
biao xian 	表現	c=7 d=1 t=279533
biao xian bu hao 	表現不好	c=1 d=1 t=38137
biao xiang 	表象	c=1 d=1 t=313369
biao xiao 	表小	c=1 d=1 t=327381
biao yan 	表演	c=9 d=1 t=213610
biao yan lei 	表演類	c=2 d=1 t=172196
biao yang 	表揚	c=3 d=1 t=307432
biao yang ni 	表揚你	c=2 d=1 t=203079
biao yao 	表要	c=1 d=1 t=172312
biao yi 	表意	c=2 d=1 t=156043
biao zhang 	表彰	c=1 d=1 t=166170
biao zhen 	錶針	c=1 d=1 t=87760
biao zhong 	表中	c=1 d=1 t=272436
biao zhu 	標註	c=4 d=1 t=294100
biao zhun 	標準	c=73 d=1.00016 t=345345
biao zhun hua 	標準化	c=11 d=1 t=320946
biao zhun ne 	標準呢	c=1 d=1 t=184543
biao zhun zhi 	標準值	c=1 d=1 t=78428
bie 	別	c=397 d=0.104271 t=352458
bie 	憋	c=8 d=1 t=279293
bie 	癟	c=3 d=1.50579 t=299379
bie a 	別啊	c=3 d=1 t=121595
bie ba 	別把	c=2 d=1 t=271380
bie bie 	別別	c=2 d=1 t=201546
bie bie bie 	別別別	c=1 d=1 t=75852
bie bu zhu 	憋不住	c=1 d=1 t=120814
bie cheng 	別稱	c=1 d=1 t=129009
bie chi 	別吃	c=4 d=1 t=267996
bie chi fan 	別吃飯	c=1 d=1 t=28805
bie chi huai 	別吃壞	c=1 d=1 t=142603
bie chu 	別出	c=2 d=1 t=197674
bie chu men 	別出門	c=2 d=1 t=330133
bie dan shi 	別但是	c=1 d=1 t=52969
bie dan xin 	別擔心	c=1 d=1 t=327911
bie dao shi hou 	別到時候	c=2 d=1 t=255557
bie de 	別的	c=113 d=1 t=344218
bie de ke fu 	別的客服	c=1 d=1 t=304619
bie de ma 	別的嗎	c=1 d=1 t=189903
bie deng 	別等	c=3 d=1 t=215445
bie deng wo 	別等我	c=2 d=1 t=134639
bie ding le 	別定了	c=2 d=1.99501 t=152206
bie dong 	別動	c=2 d=1 t=146410
bie e 	別餓	c=1 d=1 t=92938
bie gai 	別改	c=1 d=1 t=80728
bie gei 	別給	c=2 d=1 t=175027
bie gei wo 	別給我	c=1 d=1 t=244453
bie gen 	別跟	c=2 d=1 t=68030
bie gen bie ren 	別跟別人	c=1 d=1 t=249880
bie gen wo 	別跟我	c=1 d=1 t=183031
bie guan 	別管	c=2 d=1 t=186207
bie he 	別鶴	c=1 d=1 t=211024
bie huan 	別換	c=1 d=1 t=298156
bie hui lai 	別回來	c=1 d=1 t=78628
bie hui lai le 	別回來了	c=1 d=1 t=78330
bie hui qu 	別回去	c=2 d=1 t=310709
bie ji 	別急	c=2 d=1 t=258824
bie jia 	別家	c=1 d=1 t=150262
bie jia ban 	別加班	c=1 d=1 t=267836
bie jia ban na 	別加班那	c=1 d=1 t=172261
bie jie shi 	別解釋	c=1 d=1 t=117742
bie jin zhang 	別緊張	c=1 d=1 t=111124
bie jiu wo 	別就我	c=1 d=1 t=284979
bie kan 	別看	c=2 d=1 t=319767
bie ke qi 	別客氣	c=2 d=1 t=315293
bie lai 	別來	c=2 d=1 t=216816
bie lang fei 	別浪費	c=1 d=1 t=113804
bie lao 	別老	c=1 d=1 t=174464
bie lao chi 	別老吃	c=2 d=1 t=346894
bie le 	別了	c=8 d=1 t=201526
bie le 	憋了	c=1 d=1 t=279290
bie li jie 	別理解	c=1 d=1 t=111210
bie li ta 	別理他	c=1 d=1 t=163328
bie liao 	別聊	c=1 d=1 t=2782
bie mai 	別買	c=9 d=1 t=261468
bie mai dao 	別買到	c=2 d=1 t=303138
bie mai le 	別買了	c=2 d=1 t=159503
bie mei ci 	別每次	c=1 d=1 t=148834
bie mi lu 	別迷路	c=1 d=1 t=93498
bie ming tian 	別明天	c=1 d=1 t=320053
bie nao 	別鬧	c=12 d=1 t=333365
bie nao xin 	別鬧心	c=1 d=1 t=61828
bie niu 	彆扭	c=3 d=1.00213 t=282768
bie nong 	別弄	c=1 d=1 t=33898
bie pao 	別跑	c=1 d=0.1 t=270453
bie pao le 	別跑了	c=1 d=1 t=270454
bie qu 	別去	c=9 d=1.956 t=275379
bie rang 	別讓	c=4 d=1 t=300483
bie rang wo 	別讓我	c=2 d=1 t=295215
bie ren 	別人	c=68 d=1 t=332920
bie ren le 	別人了	c=1 d=1 t=66614
bie ren shuo 	別人說	c=2 d=1 t=68031
bie ren zhao xiang 	別人着想	c=1 d=1 t=4577
bie shang xin 	別傷心	c=1 d=1 t=211123
bie sheng qi 	別生氣	c=1 d=1 t=27460
bie shi 	別是	c=1 d=1 t=13657
bie shuo 	別說	c=7 d=1 t=275316
bie song 	別送	c=1 d=1 t=94664
bie tai 	別太	c=3 d=1 t=163592
bie tai lei 	別太累	c=1 d=1 t=87879
bie tai wan 	別太晚	c=1 d=1 t=110118
bie ti 	別提	c=9 d=1 t=297055
bie ti le 	別提了	c=1 d=1 t=38575
bie tuo 	別拖	c=1 d=1 t=73282
bie tuo bei 	別駝背	c=3 d=1.00117 t=185293
bie wang 	別忘	c=2 d=1 t=305550
bie wang ba 	別忘吧	c=1 d=1 t=93009
bie wang le 	別忘了	c=31 d=1 t=317082
bie xia 	別嚇	c=0 d=0.1 t=6543
bie xia shuo 	別瞎說	c=1 d=1 t=174373
bie xia wo 	別嚇我	c=1 d=1 t=6544
bie xiang 	別想	c=4 d=1 t=284254
bie xiang le 	別想了	c=1 d=1 t=66867
bie xie 	別寫	c=3 d=1 t=210611
bie yang 	別樣	c=2 d=1 t=171436
bie yin wei 	別因爲	c=1 d=1 t=90829
bie ying xiang 	別影響	c=1 d=1 t=265649
bie yong 	別用	c=6 d=1 t=323362
bie you 	別又	c=2 d=1 t=275175
bie zai 	別再	c=2 d=1 t=314938
bie zai 	別在	c=1 d=1 t=342150
bie zhao ji 	別着急	c=6 d=1 t=260335
bie zhe 	憋着	c=1 d=1 t=28174
bie zhe me 	別這麼	c=2 d=1 t=200871
bie zhe teng 	別折騰	c=1 d=1 t=8515
bie zheng 	別整	c=1 d=1 t=78104
bie zhi 	別緻	c=1 d=1 t=21655
bie zuo 	別坐	c=1 d=1 t=80522
bin 	斌	c=15 d=1.99005 t=336235
bin hai 	濱海	c=1 d=1 t=13321
bin hai xin qu 	濱海新區	c=1 d=1 t=64418
bin he 	濱河	c=1 d=1 t=116022
bing 	並	c=99 d=1 t=341509
bing 	兵	c=2 d=1 t=334259
bing 	冰	c=30 d=1.99501 t=289145
bing 	病	c=9 d=1 t=251524
bing 	餅	c=13 d=1 t=345409
bing bao 	冰雹	c=1 d=1 t=100240
bing bei 	並被	c=1 d=1 t=132827
bing bu 	並不	c=0 d=0.1 t=93086
bing bu gao 	並不高	c=1 d=1 t=93087
bing bu shi 	並不是	c=1 d=1 t=318650
bing chuang 	病牀	c=1 d=1 t=274517
bing cong 	並從	c=1 d=1 t=232964
bing dao 	冰島	c=1 d=1 t=110186
bing di 	並蒂	c=11 d=1 t=229332
bing di 	冰帝	c=52 d=1 t=346107
bing du 	冰毒	c=1 d=1 t=301816
bing du 	病毒	c=8 d=1 t=350773
bing dui 	並對	c=2 d=1.00044 t=131698
bing fa 	併發	c=1 d=1.07531 t=264389
bing gan 	餅乾	c=8 d=1 t=147451
bing gou 	併購	c=4 d=2.92654 t=322533
bing gun 	冰棍	c=5 d=1 t=211790
bing ji ling 	冰激凌	c=1 d=1 t=232818
bing jia 	病假	c=1 d=1 t=65077
bing jiang 	並將	c=1 d=1 t=85792
bing ke 	並可	c=1 d=1 t=132310
bing ke yi 	並可以	c=1 d=1 t=240073
bing kuai 	冰塊	c=1 d=1 t=227252
bing lai jiang dang 	兵來將擋	c=1 d=1 t=128500
bing le 	病了	c=3 d=1 t=197545
bing li 	病例	c=3 d=1 t=328242
bing lian xi 	並聯繫	c=1 d=1 t=160121
bing lu ru 	並錄入	c=1 d=1 t=172799
bing qie 	並且	c=22 d=1 t=326588
bing qie jia ge 	並且價格	c=1 d=1 t=155149
bing qing 	病情	c=2 d=1 t=328761
bing ru ku 	並入庫	c=1 d=1 t=232961
bing xiang 	冰箱	c=19 d=1.88692 t=344155
bing xiang li 	冰箱裏	c=9 d=1 t=138354
bing xiang li mian 	冰箱裏面	c=2 d=1 t=109105
bing xing 	並行	c=1 d=1 t=165674
bing yang 	冰洋	c=2 d=1 t=86530
bing you 	並有	c=1 d=1 t=104964
bing you zi 	兵油子	c=1 d=1 t=324201
bing yu 	並與	c=2 d=1 t=272384
bing zai 	並在	c=2 d=1 t=283537
bo 	伯	c=3 d=1 t=324142
bo 	博	c=57 d=1 t=345779
bo 	搏	c=1 d=1 t=224438
bo 	播	c=1 d=1 t=38156
bo 	柏	c=4 d=1.08322 t=347899
bo 	泊	c=2 d=1.99005 t=178490
bo 	波	c=36 d=1 t=347966
bo 	薄	c=4 d=1 t=215095
bo bao 	播報	c=1 d=1 t=60091
bo bo 	波波	c=2 d=1 t=269693
bo cai 	菠菜	c=2 d=1 t=76661
bo da 	博大	c=1 d=1 t=115754
bo da 	撥打	c=1 d=1 t=210712
bo fang 	播放	c=10 d=1 t=224024
bo fang de 	播放的	c=1 d=1 t=205903
bo fang qi 	播放器	c=1 d=1 t=123449
bo hao 	撥號	c=1 d=1 t=21010
bo he 	薄荷	c=4 d=1 t=333418
bo hong 	波鴻	c=1 d=1 t=156244
bo hui 	博會	c=5 d=1 t=239596
bo hui 	駁回	c=65 d=1.94178 t=310288
bo hui de 	駁回的	c=1 d=1 t=96685
bo hui le 	駁回了	c=3 d=1 t=199303
bo ka 	博卡	c=6 d=2.98506 t=332720
bo ke 	博客	c=6 d=2.46109 t=325003
bo ke 	播客	c=3 d=1 t=324905
bo li 	玻璃	c=1 d=1 t=279526
bo luo 	菠蘿	c=8 d=1 t=328368
bo niao suan 	玻尿酸	c=1 d=1 t=174145
bo shi 	博士	c=3 d=1 t=340313
bo te 	波特	c=5 d=1.00078 t=351019
bo zi 	脖子	c=3 d=1.96561 t=73725
bo zi shang 	脖子上	c=1 d=1 t=57882
bu 	不	c=610 d=1.0958 t=352589
bu 	布	c=10 d=1.62238 t=350086
